Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
18,1,1801,18-1,Oh,2,Oh & O'Brien,1,2,2,1,5,2,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
18,2,1802,18-2,O'Brien,1,Tie: Tracy & Wolfe/Tinney & Taubenberger/Taubenberger & Wolfe,1,3,1,3,1,1,6,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,
18,3,1803,18-3,Tinney,1,,0,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,1804,18-4,Tracy,2,Tie: Tracy & O'Brien/Tinney & O'Brien,1,2,3,2,2,1,3,,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
18,5,1805,18-5,Tie: Oh/Tinney,2,Tie: Tracy & O'Brien/Tracy & Taubenberger,1,2,5,2,4,1,4,2,1,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
18,6,1806,18-6,Taubenberger,1,,0,1,1,,5,1,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7,1807,18-7,Oh,1,Tie: Oh & O'Brien/Williams & O'Brien,1,,1,2,2,2,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
18,8,1808,18-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9,1809,18-9,Tie: Oh/O'Brien,1,Oh & Wolfe,1,,2,1,,,3,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
18,10,1810,18-10,Oh,3,Tie: Oh & Tracy/O'Brien & Wolfe,1,3,5,2,2,,2,3,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
18,11,1811,18-11,Tie: Oh/Tracy/Tinney,2,Tie: Oh & O'Brien/Williams & Tracy/Tracy & Wolfe,1,1,6,3,3,,5,2,,2,2,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,
18,12,1812,18-12,Oh,2,Tinney & O'Brien,2,,4,4,3,2,8,2,1,,1,,,,,,,1,1,,,,,,,,,,,,2,,,,,,,
18,13,1813,18-13,,0,,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14,1814,18-14,Tinney,1,Tracy & O'Brien,1,1,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
18,15,1815,18-15,Tinney,1,,0,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,1816,18-16,Tie: Oh/O'Brien/Williams,1,Oh & O'Brien,1,1,3,1,1,,2,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
18,17,1817,18-17,Oh,2,Oh & Tracy,1,,3,1,,2,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
19,1,1901,19-1,Oh,2,Tinney & O'Brien,1,,3,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
19,2,1902,19-2,Tracy,1,,0,1,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,1903,19-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,1904,19-4,,0,Oh & Williams,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
19,5,1905,19-5,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,1906,19-6,,0,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7,1907,19-7,,0,Oh & Taubenberger,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
19,8,1908,19-8,Tie: Taubenberger/Wolfe,1,,0,2,2,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,9,1909,19-9,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,1910,19-10,Oh,1,,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,1911,19-11,Williams,1,Taubenberger & Wolfe,1,2,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,
19,12,1912,19-12,,0,Tie: Oh & Tracy/Oh & Williams,1,1,,2,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
19,13,1913,19-13,Williams,1,,0,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19,14,1914,19-14,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19,15,1915,19-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16,1916,19-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17,1917,19-17,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
19,18,1918,19-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,1919,19-19,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2001,20-1,,0,Williams & Taubenberger,1,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
20,2,2002,20-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,2003,20-3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,2004,20-4,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,2005,20-5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,2006,20-6,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7,2007,20-7,Oh,1,Williams & Wolfe,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
20,8,2008,20-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9,2009,20-9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,2010,20-10,,0,,0,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,11,2011,20-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,2101,21-1,O'Brien,1,,0,1,1,,4,1,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,2102,21-2,Oh,2,Tie: Oh & Wolfe/Tinney & O'Brien,1,2,4,2,4,2,6,2,,1,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
21,3,2103,21-3,Taubenberger,1,Tinney & O'Brien,1,1,1,1,2,1,3,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
21,4,2104,21-4,Williams,2,,0,,3,,,1,4,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
21,5,2105,21-5,Tie: Oh/Tracy/Wolfe,1,Oh & Tracy,2,1,3,6,7,6,18,1,,1,,,1,,,1,2,,,,,,1,,,,,1,,,,,,,,1,,
21,6,2106,21-6,Wolfe,2,Tie: Oh & O'Brien/Oh & Tinney,1,1,3,2,1,4,2,1,,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,
21,7,2107,21-7,O'Brien,1,,0,1,1,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8,2108,21-8,Tie: Oh/Tinney/Williams,1,Oh & Taubenberger,1,,3,1,2,,3,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
21,9,2109,21-9,Oh,1,Tinney & Taubenberger,1,,1,1,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
21,10,2110,21-10,Tie: Tracy/Williams,1,Oh & Tracy,2,1,2,6,4,1,3,,,1,,,,1,,,2,,1,1,,1,,,,,,1,,,,,,,,,,
21,11,2111,21-11,Tie: Oh/O'Brien,1,,0,1,2,,1,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12,2112,21-12,Oh,2,,0,,2,,2,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13,2113,21-13,Williams,1,Tie: Tinney & Taubenberger/Taubenberger & Wolfe,1,,1,2,1,7,7,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,
21,14,2114,21-14,Oh,2,O'Brien & Wolfe,1,1,5,1,2,1,2,2,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
21,15,2115,21-15,Wolfe,1,Tie: Oh & O'Brien/Williams & Tracy,1,1,1,2,4,3,8,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,
21,16,2116,21-16,Oh,1,Tie: Oh & Tinney/Tracy & Tinney,1,,1,2,7,1,7,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
21,17,2117,21-17,Tie: Oh/Tracy,1,Tinney & Wolfe,3,,2,4,1,1,7,1,,1,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,
21,18,2118,21-18,Williams,3,Tie: Oh & Tracy/Tinney & O'Brien/Tinney & Wolfe,1,3,4,3,2,,3,,,1,,,,3,,,1,,,,,,,,,,,,,,1,,1,,,,,
21,19,2119,21-19,Oh,3,,0,,4,,3,,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,2120,21-20,Oh,2,Tie: Oh & O'Brien/Oh & Tracy,1,2,2,2,3,3,4,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
21,21,2121,21-21,Oh,2,Oh & O'Brien,1,1,3,1,8,2,7,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
21,22,2122,21-22,Oh,4,Tie: Williams & Wolfe/Tinney & O'Brien,1,3,7,2,11,1,16,4,1,2,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,
21,23,2123,21-23,Tie: Tracy/Wolfe,1,,0,,2,,,2,4,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,24,2124,21-24,,0,Tie: Oh & Tinney/Williams & Taubenberger,1,,,2,2,3,5,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
21,25,2125,21-25,Oh,4,Tie: Oh & Tinney/Oh & Wolfe/Tracy & Taubenberger/Tinney & Wolfe,1,4,5,4,12,1,7,4,,,,,1,,,,,1,,1,,,,,,,,,1,,,,1,,,,,
21,26,2126,21-26,Oh,3,Tie: Oh & O'Brien/Oh & Wolfe/Taubenberger & Wolfe,1,,7,3,4,1,10,3,,1,1,,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,,
21,27,2127,21-27,Oh,1,,0,,1,,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,2128,21-28,Tie: Oh/Tinney,2,Tie: Oh & Williams/Williams & Tracy,1,,5,2,6,1,7,2,,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
21,29,2129,21-29,Oh,3,O'Brien & Taubenberger,1,1,7,1,8,2,11,3,,2,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
21,30,2130,21-30,Tie: Tracy/Tinney,2,Tie: Oh & Tinney/Oh & Taubenberger/O'Brien & Taubenberger,1,1,5,3,1,2,5,,,2,2,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,
21,31,2131,21-31,Tie: Oh/Tracy,2,Tinney & O'Brien,2,2,5,4,2,2,13,2,,2,,1,,,,,,1,,,,,,,,,,,,,2,,1,,,,,
21,32,2132,21-32,Williams,1,Tie: Oh & O'Brien/Oh & Tracy/Taubenberger & Wolfe,1,2,1,3,4,5,10,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,1,,
21,33,2133,21-33,Oh,6,Tie: Williams & Tracy/Tracy & Tinney,2,5,11,7,10,6,12,6,3,1,,,1,,,,,,,,,2,,,,,2,1,,,1,,,,,1,,
21,34,2134,21-34,Oh,3,Tracy & O'Brien,2,3,7,3,7,9,19,3,2,,,,2,,,1,,,,,,,,,,,,2,,,,,,,,,,
21,35,2135,21-35,Oh,1,Oh & Taubenberger,1,2,1,1,5,2,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
21,36,2136,21-36,Tie: Oh/Tinney,1,Taubenberger & write-in,1,,2,1,4,2,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
21,37,2137,21-37,Tie: Tracy/Tinney/Wolfe,1,,0,4,3,,3,2,5,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,38,2138,21-38,Oh,2,Oh & Taubenberger,3,2,3,6,6,3,16,2,,,1,,,,,,,,3,,,,,,,,,,,,1,,,1,,1,,
21,39,2139,21-39,Oh,2,Tie: Oh & Williams/Williams & Tracy,1,1,3,2,3,3,19,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
21,40,2140,21-40,Oh,3,Tie: Oh & Tracy/Oh & Tinney/Oh & Williams/Williams & Tracy/Tracy & Tinney,1,4,6,5,3,1,9,3,,1,,,1,1,,,1,1,,,1,1,,,,,1,,,,,,,,,,,
21,41,2141,21-41,Tie: Oh/O'Brien,4,Tracy & O'Brien,2,4,11,7,4,1,14,4,4,1,,2,,,,1,,,1,,,,,,,,1,2,,,,,,1,,1,,
21,42,2142,21-42,O'Brien,2,Tie: Oh & O'Brien/Oh & Tinney,1,3,4,2,7,7,9,1,2,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
21,43,2143,21-43,Tinney,2,Tinney & Wolfe,1,,3,1,9,3,8,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,44,2144,21-44,Oh,6,Tinney & Taubenberger,2,3,10,4,9,7,13,6,,1,,2,1,,,,1,1,,,,,,,,,,,,,,2,,,,,,
21,45,2145,21-45,Oh,2,Tie: Tracy & Tinney/Tinney & O'Brien,2,4,6,8,7,2,17,2,1,1,,1,,1,,,1,,1,1,,,,,,,2,,,,2,,,,1,,,
22,1,2201,22-1,Tie: O'Brien/Tracy,1,O'Brien & Taubenberger,1,,2,1,2,,6,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
22,2,2202,22-2,Oh,1,,0,,1,,1,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,2203,22-3,Tie: Tracy/Williams,1,,0,,2,,,1,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
22,4,2204,22-4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,2205,22-5,Tie: Oh/Williams,1,Oh & Tracy,1,,2,1,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
22,6,2206,22-6,Tie: Oh/Tracy,1,,0,,2,,2,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,2207,22-7,Tracy,5,Tracy & Tinney,1,,6,1,,,3,,,5,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
22,8,2208,22-8,Taubenberger,1,Taubenberger & Wolfe,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
22,9,2209,22-9,Tracy,1,,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10,2210,22-10,Tinney,1,,0,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11,2211,22-11,Wolfe,2,,0,,3,,2,1,3,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
22,12,2212,22-12,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,13,2213,22-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14,2214,22-14,Tie: Oh/Tracy,1,,0,,2,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15,2215,22-15,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,2216,22-16,,0,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17,2217,22-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,18,2218,22-18,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19,2219,22-19,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,2220,22-20,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,2221,22-21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,2222,22-22,Oh,1,,0,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,2223,22-23,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24,2224,22-24,,0,,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25,2225,22-25,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,26,2226,22-26,Williams,1,Tinney & Wolfe,2,2,1,2,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,
22,27,2227,22-27,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,28,2228,22-28,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,29,2229,22-29,Taubenberger,1,,0,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,2301,23-1,Oh,2,Oh & Tracy,1,,2,1,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23,2,2302,23-2,Tie: Oh/Taubenberger/Williams,1,,0,,3,,1,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,3,2303,23-3,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,2304,23-4,Tie: Wolfe/Williams,1,Williams & Tracy,1,1,2,1,5,2,2,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,
23,5,2305,23-5,,0,Oh & Tracy,1,1,,1,1,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
23,6,2306,23-6,,0,,0,1,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,2307,23-7,,0,,0,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8,2308,23-8,Tinney,1,Tie: Tracy & O'Brien/O'Brien & Taubenberger,1,1,1,2,2,,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
23,9,2309,23-9,Tie: Tracy/Wolfe,1,Tie: Oh & Tinney/Tracy & Wolfe/O'Brien & Taubenberger,1,2,2,3,6,2,12,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,
23,10,2310,23-10,Oh,2,Tracy & Wolfe,2,,3,4,7,3,11,2,,,,,,1,,,1,,1,,,,,,,,,,,2,,,,,,,,
23,11,2311,23-11,Oh,2,,0,1,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,12,2312,23-12,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,13,2313,23-13,Oh,2,Tie: Oh & O'Brien/Oh & Tracy/Oh & Williams/Tracy & Tinney,1,,4,4,3,1,6,2,,1,,1,,,,1,1,,,,1,,,,,,1,,,,,,,,,,,
23,14,2314,23-14,,0,Williams & Tracy,2,4,,5,5,1,6,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,1,,,
23,15,2315,23-15,Williams,1,,0,1,1,,4,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,16,2316,23-16,Tie: Oh/Williams,1,,0,,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,17,2317,23-17,Tie: Oh/Williams,1,Oh & Tracy,1,,2,1,1,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
23,18,2318,23-18,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,19,2319,23-19,Tie: O'Brien/Tracy/Wolfe,1,,0,1,3,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,2320,23-20,O'Brien,1,,0,1,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21,2321,23-21,Williams,1,,0,,1,,2,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
23,22,2322,23-22,,0,Oh & Tinney,1,,,1,1,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
23,23,2323,23-23,Tie: Tracy/Williams,1,,0,,2,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24,01,2401,24-01,Oh,2,Tracy & Wolfe,1,,3,1,1,1,1,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
24,02,2402,24-02,Oh,1,Oh & Williams,1,,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
24,03,2403,24-03,,0,Oh & Tracy,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
24,04,2404,24-04,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,05,2405,24-05,Oh,2,,0,,2,,2,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,06,2406,24-06,Tie: Oh/Tracy,1,,0,,2,,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,07,2407,24-07,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,08,2408,24-08,Taubenberger,1,,0,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
24,09,2409,24-09,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10,2410,24-10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,11,2411,24-11,Williams,1,,0,,1,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24,12,2412,24-12,Tinney,1,,0,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13,2413,24-13,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14,2414,24-14,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
24,15,2415,24-15,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16,2416,24-16,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17,2417,24-17,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,18,2418,24-18,,0,Tinney & Wolfe,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
24,19,2419,24-19,Williams,1,,0,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
25,1,2501,25-1,Oh,3,Williams & Wolfe,2,,5,2,7,,3,3,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
25,2,2502,25-2,Oh,2,Oh & Williams,1,1,2,1,3,1,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
25,3,2503,25-3,Oh,2,Tie: Oh & Tracy/Tracy & Tinney/Tracy & O'Brien/Tinney & Taubenberger/Tinney & Wolfe,1,1,5,5,17,1,6,2,,,1,,1,1,,,1,,,,,,,,,,1,1,,,,1,1,,,,,
25,4,2504,25-4,Tie: Oh/Tracy/Williams,1,Tie: Oh & Wolfe/Tinney & Taubenberger,1,3,3,2,1,1,4,1,,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
25,5,2505,25-5,Oh,2,Tie: Oh & Tinney/Oh & Wolfe,2,9,4,5,10,2,11,2,1,,,1,,,,,,2,,2,,,,,,,,,,,1,,,,,,,
25,6,2506,25-6,Tracy,3,Tie: Oh & Tracy/Oh & Taubenberger,2,4,6,4,7,1,5,2,,3,1,,,,,,2,,2,,,,,,,,,,,,,,,,,,,
25,7,2507,25-7,Tracy,7,Tracy & Tinney,2,1,10,5,12,1,7,2,,7,,1,,,,1,,,,,,1,,,,,2,,,,1,,,,,,,
25,8,2508,25-8,Oh,2,Tie: Tracy & Tinney/Tinney & O'Brien/O'Brien & Taubenberger,1,2,4,3,9,,3,2,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
25,9,2509,25-9,,0,,0,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,2510,25-10,Oh,3,Tie: Oh & Williams/Tinney & O'Brien/Tinney & Taubenberger,1,3,5,3,10,,5,3,,1,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,
25,11,2511,25-11,Oh,2,Tinney & O'Brien,2,1,3,3,7,1,3,2,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,
25,12,2512,25-12,Tie: Oh/Tracy,2,O'Brien & Taubenberger,2,2,5,3,15,,6,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,
25,13,2513,25-13,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14,2514,25-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15,2515,25-15,Tie: Oh/O'Brien,1,,0,2,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,16,2516,25-16,Tie: Oh/Tracy,1,,0,,2,,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17,2517,25-17,Oh,1,Oh & Tracy,1,,1,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
25,18,2518,25-18,O'Brien,1,,0,,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,19,2519,25-19,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20,2520,25-20,,0,,0,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,21,2521,25-21,Tie: O'Brien/Williams,1,,0,2,2,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
25,22,2522,25-22,Tie: Oh/O'Brien,1,Tie: Tracy & Tinney/Tinney & Wolfe,1,,2,2,9,4,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
25,23,2523,25-23,,0,Williams & Tracy,1,,,1,5,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
25,24,2524,25-24,Tie: Oh/Tracy/Tinney/Williams,1,Oh & Tinney,1,1,4,1,4,,2,1,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
26,1,2601,26-1,Oh,2,Tie: Oh & Williams/Tinney & Wolfe,1,,4,2,6,2,5,2,,1,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
