Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh & O'Brien,Oh & Tracy,Oh & Tinney,Oh & Taubenberger,Oh & Wolfe,Oh & Williams,Williams & Tracy,Williams & Tinney,Williams & O'Brien,Williams & Taubenberger,Williams & Wolfe,Tracy & Tinney,Tracy & O'Brien,Tracy & Taubenberger,Tracy & Wolfe,Tinney & O'Brien,Tinney & Taubenberger,Tinney & Wolfe,O'Brien & Taubenberger,O'Brien & Wolfe,Taubenberger & Wolfe,Taubenberger & write-in,Oh & Write & In
6,6,0606,6-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,0607,6-7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,0608,6-8,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,0609,6-9,Oh,1,,0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,0610,6-10,Oh,12,,0,,12,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,0611,6-11,,0,,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,0612,6-12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,0613,6-13,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,0614,6-14,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15,0615,6-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,0616,6-16,Oh,3,,0,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,0617,6-17,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,0618,6-18,Oh,1,Oh & Tracy,1,,1,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
7,1,0701,7-1,Williams,2,,0,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0702,7-2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,0703,7-3,Tracy,1,Oh & Tracy,1,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
7,4,0704,7-4,,0,,0,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,0705,7-5,,0,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,0706,7-6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0707,7-7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,0708,7-8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,0709,7-9,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,0710,7-10,,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,0711,7-11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12,0712,7-12,Tie: Oh/Tracy/Williams,1,Tie: Oh & Tracy/Oh & Williams,1,2,3,2,2,,3,1,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,
7,13,0713,7-13,,0,Oh & O'Brien,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7,14,0714,7-14,O'Brien,1,,0,,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,0715,7-15,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16,0716,7-16,Tracy,2,,0,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17,0717,7-17,Tinney,1,Tinney & O'Brien,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7,18,0718,7-18,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19,0719,7-19,Tracy,1,,0,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,0720,7-20,Tie: Oh/Tracy,1,Tie: Oh & Tinney/Williams & Wolfe,1,,2,2,1,,2,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
7,21,0721,7-21,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22,0722,7-22,Williams,2,,0,,3,,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
7,23,0723,7-23,Tracy,1,,0,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,0801,8-1,,0,Tie: Oh & Tracy/Tinney & O'Brien,1,1,,2,4,1,4,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
8,2,0802,8-2,,0,Tracy & Wolfe,2,1,,3,4,,4,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,
8,3,0803,8-3,Tie: Tracy/Taubenberger/Write-in,1,Tie: Oh & Tracy/Tracy & Wolfe,1,1,3,2,6,,5,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,,
8,4,0804,8-4,Tie: Tracy/Taubenberger,1,Tracy & Wolfe,4,1,2,4,1,,2,,,1,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,
8,5,0805,8-5,Tie: Oh/Taubenberger,1,Tie: Oh & O'Brien/Oh & Taubenberger/Oh & Wolfe/Tracy & Wolfe,1,1,2,4,1,2,5,1,,,,1,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,
8,6,0806,8-6,Tracy,3,Tracy & Tinney,1,1,3,1,1,,8,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
8,7,0807,8-7,Oh,2,Tie: Oh & Wolfe/O'Brien & Taubenberger,1,1,5,2,3,,10,2,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
8,8,0808,8-8,Tie: Oh/Taubenberger/Wolfe,1,Tracy & Wolfe,2,2,3,4,4,1,6,1,,,,1,1,,,,,,,1,,,,,,1,,,,2,,,,,,,,
8,9,0809,8-9,Tracy,4,Tie: Oh & Williams/Tracy & Tinney,1,,6,2,3,1,3,2,,4,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
8,10,0810,8-10,Oh,3,Tie: Oh & O'Brien/Oh & Tinney,1,,3,2,6,1,7,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
