Ward,Division,WardDiv,Ward-Division,Top Bullet,Top Bullet Votes,Top Pair,Top Pair Votes,0 Votes,1 Votes,2 Votes,3 Votes,4 Votes,5 Votes,Neilson,Rizzo,Wyatt,Gym,Domb,Green,Steinke,Reynolds Brown,Goode,Aument-Loughrey,Cohen,Alexander,Thomas,Greenlee,Cain,Ayers,Write in,Wyatt & Neilson,Green & Greenlee,Green & Domb,Domb & Rizzo,Greenlee & Neilson,Neilson & Rizzo,Domb & Gym,Wyatt & Greenlee,Greenlee & Gym,Wyatt & Cohen,Green & Rizzo,Steinke & Rizzo,Steinke & Goode,Domb & Steinke,Green & Wyatt,Cohen & Gym,Reynolds-Brown & Neilson,Cohen & Thomas,Wyatt & Rizzo,Domb & Neilson,Wyatt & Gym,Domb & Wyatt,Gym & Thomas,Reynolds-Brown & Steinke,Wyatt & Steinke,Green & Gym,Steinke & Gym,Ayers & Gym,Domb & Reynolds-Brown,Green & Aument-Loughrey,Reynolds-Brown & Cohen,Gym & Neilson,Green & Neilson,Neilson & Goode,Domb & Aument & Loughrey,Steinke & Neilson,Green & Ayers,Aument-Loughrey & Gym,Green & Goode,Steinke & Cohen,Reynolds-Brown & Goode,Cohen & Neilson,Rizzo & Goode,Gym & Goode,Thomas & Goode,Greenlee & Rizzo,Domb & Greenlee,Ayers & Reynolds-Brown,Reynolds-Brown & Gym,Ayers & Aument-Loughrey,Reynolds-Brown & Thomas,Wyatt & Reynolds-Brown,Green & Cohen,Aument-Loughrey & Greenlee,Cohen & Cain,Gym & Rizzo,Ayers & Wyatt,Alexander & Cain,Ayers & Domb,Reynolds-Brown & Rizzo,Cain & Aument-Loughrey,Reynolds-Brown & Greenlee,Greenlee & Goode,Cain & Reynolds-Brown,Ayers & Cain,Ayers & Steinke,Green & Thomas,Aument-Loughrey & Rizzo,Cohen & Goode,Green & Cain,Cohen & Rizzo,Domb & Cohen,Neilson & Thomas,Domb & Thomas,Wyatt & Thomas,Cain & Gym,Cain & Rizzo,Ayers & Cohen,Alexander & Thomas,Rizzo & Thomas,Ayers & Alexander,Cohen & Greenlee,Steinke & Greenlee,Cain & Thomas,Alexander & Rizzo,Reynolds-Brown & Aument-Loughrey,Cain & Goode,Aument-Loughrey & Neilson,Alexander & Gym,Steinke & Aument-Loughrey,Cain & Steinke,Alexander & Wyatt,Aument-Loughrey & Thomas,Greenlee & Thomas,Ayers & Thomas,Alexander & Neilson,Alexander & Cohen,Ayers & Neilson,Aument-Loughrey & Cohen,Domb & Cain,Wyatt & Goode,Cain & Greenlee,Wyatt & Cain,Alexander & Goode,Alexander & Reynolds-Brown,Ayers & Goode,Reynolds-Brown & Green,Gym & Write-in,Ayers & Greenlee,Cain & Cohen,Alexander & Steinke,Wyatt & Aument-Loughrey,Cain & Neilson,Rizzo & Write-in,Alexander & Greenlee,Alexander & Aument-Loughrey,Thomas/Write & In,Green & Reynolds-Brown,Green & Alexander,Green & Steinke,Ayers & Rizzo,Alexander & Domb,Domb & Goode,Steinke & Thomas,Aument-Loughrey & Goode,Alexander & Write-In
1,21,0121,1-21,Rizzo,6,Tie: Greenlee & Neilson/Neilson & Rizzo/Domb & Neilson,5,63,57,31,16,20,39,30,6,4,3,5,4,1,1,,1,,,1,1,,,,1,,1,3,5,5,1,,1,1,,1,,1,1,1,,,1,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,1,0201,2-1,Tie: Neilson/Domb,6,Tie: Cohen & Gym/Wyatt & Steinke,4,32,46,25,23,23,94,6,4,3,15,6,5,2,1,,,,1,,2,1,,,,,1,2,1,1,,,,,,,,3,1,4,,,,2,,,,,4,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0202,2-2,Tie: Gym/Domb,5,Domb & Gym,2,14,29,11,15,10,53,1,3,1,5,5,2,3,,2,,1,1,1,1,,3,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
2,3,0203,2-3,Tie: Domb/Steinke,3,Steinke & Gym,3,27,17,14,7,14,37,,2,2,2,3,,3,1,2,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,3,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2,4,0204,2-4,Tie: Rizzo/Greenlee,7,Cohen & Gym,6,12,42,22,19,8,53,,7,4,14,2,3,2,,1,,1,,,7,1,,,,,,3,1,,,,,,,,,,,6,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2,5,0205,2-5,Rizzo,5,Cohen & Gym,4,30,31,21,19,15,58,4,5,1,11,3,2,2,2,,,,,1,,,,,2,,,2,,2,,,,,,,,,,4,,,1,,1,1,,,,1,1,,1,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,0206,2-6,Tie: Gym/Domb,4,Wyatt & Neilson,3,33,41,16,29,16,73,1,3,18,4,4,1,2,,,1,1,1,,1,1,3,,3,,,1,,,,,,,,,,,,2,,,2,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,0207,2-7,Tie: Wyatt/Domb,9,Tie: Domb & Steinke/Steinke & Gym,4,27,42,22,29,13,61,,4,9,10,9,1,3,,1,,1,1,1,,,2,,2,,,,1,,2,,,,,,,4,,2,,,,,3,1,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,0208,2-8,Domb,6,Tie: Domb & Wyatt/Rizzo & Goode/Aument-Loughrey & Neilson,2,30,30,11,19,9,37,,2,3,3,6,4,,,3,1,,1,4,,,3,,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2,9,0209,2-9,Green,8,Tie: Cohen & Gym/Reynolds-Brown & Goode/Reynolds-Brown & Thomas/Gym & Rizzo,2,30,38,16,11,21,49,1,2,1,6,6,8,1,2,2,,2,,2,,,5,,,,1,,,,,,1,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,,1,1,,,2,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,0210,2-10,Gym,6,Tie: Domb & Gym/Cohen & Gym/Gym & Rizzo,2,24,22,16,15,17,79,1,2,2,6,3,2,2,1,,,,,,,1,2,,,,,,,1,2,,1,,,1,,,1,2,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,0211,2-11,Gym,9,Tie: Domb & Gym/Cohen & Gym/Steinke & Gym,3,21,32,15,13,12,53,1,4,1,9,4,4,2,1,,2,1,1,,1,,1,,,,,1,,,3,,,,,,,1,,3,,,,,,1,,1,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,0212,2-12,Reynolds Brown,3,Tie: Domb & Wyatt/Steinke & Gym/Steinke & Neilson/Greenlee & Rizzo/Gym & Rizzo,2,17,22,19,19,19,73,,1,,10,2,,1,3,,1,1,,1,,,2,,,,,1,1,,1,,,,,,,,,1,,,,1,,2,1,,,,2,,,,1,,,,,2,,,,,,,,,1,2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,0213,2-13,Wyatt,6,Tie: Domb & Gym/Green & Gym/Domb & Reynolds-Brown/Reynolds-Brown & Goode/Rizzo & Goode/Reynolds-Brown & Rizzo,1,16,16,6,7,5,21,,1,6,2,3,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,0214,2-14,Gym,9,Ayers & Alexander,4,48,38,28,28,17,65,4,,,9,1,11,1,1,2,,,2,,1,,6,,,,,3,,1,2,,,,,1,,3,,1,,,,,,,,,,,1,,1,,,1,,1,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2,15,0215,2-15,Tie: Gym/Domb/Green,7,Domb & Gym,5,40,36,23,20,26,86,2,1,1,7,7,7,3,,1,,1,,2,1,,3,,,,,1,,1,5,,,,,,,3,,,,,,,,,1,,,,3,,,,,,,,,,2,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
2,16,0216,2-16,Domb,6,Tie: Cohen & Gym/Steinke & Gym,6,23,43,28,21,29,132,,2,1,25,6,1,,3,,1,1,,1,,1,1,,,,,1,1,,,,3,,,,,2,,6,,,,,1,,,,1,,6,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,0217,2-17,Tie: Domb/Steinke,5,Tie: Domb & Steinke/Reynolds-Brown & Gym,2,16,37,18,11,16,77,,,1,16,5,1,5,,,1,2,1,2,1,1,1,,,,1,,,,1,,1,,,,,2,,1,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,1,,,1,,2,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
