,# of Votes per Voter,,,,,,Bullet Votes Per Candidate,,,,,,,,Double Bullet Pairs,,,,,,,,,,,,,,,,,,,,,,
Div,0,1,2,3,4,5,Oh,O'Brien,Tracy,Tinney,Taubenberger,Wolfe,Williams,Write-in,Oh O'Brien,Oh Tracy,Oh Tinney,Oh Taubenberger,Oh Wolfe,Oh Williams,Williams Tracy,Williams Tinney,Williams O'Brien,Williams Taubenberger,Williams Wolfe,Tracy Tinney,Tracy O'Brien,Tracy Taubenberger,Tracy Wolfe,Tinney O'Brien,Tinney Taubenberger,Tinney Wolfe,O'Brien Taubenberger,O'Brien Wolfe,Taubenberger Wolfe,Taubenberger write-in,Oh Write In
4-20,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
4-21,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-1,2,4,4,7,1,16,1,,,,,2,1,,,1,,,,,,,,,,,,,,,,1,,1,1,,
5-2,1,3,1,,1,6,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5-3,2,5,3,10,1,13,1,,1,,,2,1,,,,1,,1,,,,,,,,,1,,,,,,,,,
5-4,3,1,2,5,2,7,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,
5-5,5,6,2,5,,6,2,,2,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,
5-6,2,4,1,3,3,4,2,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
5-7,1,2,,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-8,,3,,3,,4,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
5-9,1,5,4,3,,6,2,,2,,,1,,,,1,,,,1,,,,,,1,,,1,,,,,,,,
5-10,0,5,3,2,2,9,2,,,,2,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,
5-11,1,1,1,3,,5,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
5-12,2,19,2,4,1,4,17,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,
5-13,,3,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-14,1,3,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-15,1,4,,2,,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-16,,2,1,2,1,2,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
5-17,,1,1,4,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5-18,1,11,6,10,1,19,3,2,3,1,,1,1,,1,,,,,,,,1,,,,,,4,,,,,,,,
5-19,2,8,2,6,3,9,3,,2,,2,1,,,1,,,,1,,,,,,,,,,,,,,,,,,
5-20,1,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-21,2,2,2,2,2,4,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,
5-22,1,2,4,3,1,4,,,,1,,1,,,,,,,1,,,,,,,1,1,1,,,,,,,,,
5-23,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-24,2,3,2,2,,5,2,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,
5-25,,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-26,2,2,3,5,,4,2,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,
5-27,3,2,2,4,1,9,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
5-28,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-3,0,0,1,0,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6-4,1,1,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6-5,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-9,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-10,0,12,0,0,0,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-11,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
